VIDEO Video URL,VIDEO Published Date,FACEBOOK FB Video Complete Views 30s Organic,FACEBOOK FB Video Complete Views 30s Paid,FACEBOOK FB Video Complete Views 30s Total,FACEBOOK FB Video Complete Views Organic,FACEBOOK FB Video Complete Views Paid,FACEBOOK FB Video Complete Views Total,FACEBOOK FB Video Views Organic,FACEBOOK FB Video Views Paid,FACEBOOK FB Video Views Total,FACEBOOK Post Shares,FACEBOOK Post Reach,FACEBOOK Post Fan Reach,FACEBOOK Post Likes,FACEBOOK Post Comments,FACEBOOK Post Negative Feedback: Total,Targeted?,Repost?,Bug?
https://www.facebook.com/Upworthy/posts/951384848235707,2/6/2015,732816,55,732871,364367,38,364405,2102886,78,2102964,38571,7946240,3006464,97921,8347,3430,N,N,N
https://www.facebook.com/Upworthy/posts/950699214970937,2/5/2015,320269,1,320270,228520,0,228520,1321945,1,1321946,11553,4749312,2603008,33659,6856,997,N,N,N
https://www.facebook.com/Upworthy/posts/949682575072601,2/3/2015,58388,0,58388,7514,0,7514,405624,0,405624,2733,1798656,1432064,6863,1072,249,N,N,N
https://www.facebook.com/Upworthy/posts/947209858653206,2/1/2015,49666,0,49666,22167,0,22167,310757,0,310757,753,1395712,1308672,2532,612,183,N,N,N
https://www.facebook.com/Upworthy/posts/946602228713969,1/29/2015,60240,0,60240,14728,0,14728,331382,0,331382,409,1188864,1133056,2193,337,199,N,N,N
https://www.facebook.com/Upworthy/posts/946578362049689,1/29/2015,50164,0,50164,21777,0,21777,311699,0,311699,2399,1525760,1302016,7086,804,274,N,N,N
https://www.facebook.com/Upworthy/posts/937768546264004,1/19/2015,38642,0,38642,21368,0,21368,280475,3,280478,913,1290752,1203712,4320,225,172,N,N,N
https://www.facebook.com/Upworthy/posts/937079316332927,1/15/2015,370142,0,370142,299227,0,299227,1301015,0,1301015,6547,3930112,2116608,35514,4793,826,N,N,N
https://www.facebook.com/Upworthy/posts/936079183099607,1/14/2015,275910,247,276157,102527,59,102586,1187418,343,1187761,9124,3845120,2601984,30661,10054,1346,N,N,N
https://www.facebook.com/Upworthy/posts/932299396810919,1/7/2015,92096,0,92096,45456,0,45456,492232,0,492232,1427,1791488,1638912,4960,447,256,N,N,N
,,50448981,272426,50721407,23191021,133654,23324675,165112692,1135229,166247921,3423269,590412457,179265700,8786328,1228208,253111,,,
